player_id;team_external_id;player_name_pt;player_name_en;team_name_pt;team_name_en;team_abbreviation;position_code;position_pt;position_en;player_image_url;team_flag_url;rank_goalkeeper_saves;goalkeeper_saves;goalkeeper_defensive_actions_inside_penalty_area;goalkeeper_defensive_actions_outside_penalty_area;rank_goalkeeper_defensive_actions_inside_penalty_area;rank_goalkeeper_defensive_actions_outside_penalty_area
389879;285023_43843;Luca Zidane;Luca Zidane;Argélia;Algeria;ALG;GK;;;https://digitalhub.fifa.com/transform/9a389290-d443-4b83-8e3a-70e481bca3f1/ZIDANE-Luca_389879;https://api.fifa.com/api/v3/picture/flags-sq-3/ALG;30;9;34;32;49;49
520070;285023_43843;Melvin Mastil;Melvin Mastil;Argélia;Algeria;ALG;GK;;;https://digitalhub.fifa.com/transform/6d85724d-c5a6-400d-acb9-df73451a4bf4/MASTIL-Melvin_520070;https://api.fifa.com/api/v3/picture/flags-sq-3/ALG;56;0;0;0;60;60
477817;285023_43843;Oussama Benbot;Oussama Benbot;Argélia;Algeria;ALG;GK;;;https://digitalhub.fifa.com/transform/884914ab-5fde-4b43-a31a-99b35849afc8/BENBOT-Oussama_477817;https://api.fifa.com/api/v3/picture/flags-sq-3/ALG;56;0;14;13;57;57
308300;285023_43922;Emiliano Martinez;Emiliano Martinez;Argentina;Argentina;ARG;GK;;;https://digitalhub.fifa.com/transform/f5f477fe-a519-4c69-bb68-f6f5b97c1399/MARTINEZ_Emiliano_308300;https://api.fifa.com/api/v3/picture/flags-sq-3/ARG;50;4;57;49;32;31
394824;285023_43922;Geronimo Rulli;Geronimo Rulli;Argentina;Argentina;ARG;GK;;;https://digitalhub.fifa.com/transform/db91883b-99ec-4aa2-bf1a-cc7912040c7b/RULLI-Geronimo_394824;https://api.fifa.com/api/v3/picture/flags-sq-3/ARG;56;0;0;0;60;60
430624;285023_43922;Juan Musso;Juan Musso;Argentina;Argentina;ARG;GK;;;https://digitalhub.fifa.com/transform/c4a2b6b7-378f-422d-b2d1-42a04e5b1dfb/MUSSO-Juan_430624;https://api.fifa.com/api/v3/picture/flags-sq-3/ARG;56;0;0;0;60;60
339117;285023_43976;Mathew Ryan;Mathew Ryan;Austrália;Australia;AUS;GK;;;https://digitalhub.fifa.com/transform/7c98d5eb-1514-4e8f-a6c6-60f4017b2175/RYAN-Mathew_339117;https://api.fifa.com/api/v3/picture/flags-sq-3/AUS;56;0;0;0;60;60
494557;285023_43976;Patrick Beach;Patrick Beach;Austrália;Australia;AUS;GK;;;https://digitalhub.fifa.com/transform/0ea3c68c-c425-41c4-b973-c60e2d5b4685/BEACH-Patrick_494557;https://api.fifa.com/api/v3/picture/flags-sq-3/AUS;14;14;91;76;9;8
331135;285023_43976;Paul Izzo;Paul Izzo;Austrália;Australia;AUS;GK;;;https://digitalhub.fifa.com/transform/b64e66f2-6c65-4a90-8f28-6fc699fcf5ce/IZZO-Paul_331135;https://api.fifa.com/api/v3/picture/flags-sq-3/AUS;56;0;0;0;60;60
371739;285023_43934;Alexander Schlager;Alexander Schlager;Áustria;Austria;AUT;GK;;;https://digitalhub.fifa.com/transform/9612130f-7351-47d4-b346-dcd331a62cbe/SCHLAGER-Alexander_371739;https://api.fifa.com/api/v3/picture/flags-sq-3/AUT;10;15;85;74;13;11
520034;285023_43934;Florian Wiegele;Florian Wiegele;Áustria;Austria;AUT;GK;;;https://digitalhub.fifa.com/transform/7feedee9-3390-40e2-a9aa-8867abd8b89e/WIEGELE-Florian_520034;https://api.fifa.com/api/v3/picture/flags-sq-3/AUT;56;0;0;0;60;60
441065;285023_43934;Patrick Pentz;Patrick Pentz;Áustria;Austria;AUT;GK;;;https://digitalhub.fifa.com/transform/fee95866-9f5e-4663-b49f-3db6a86f0e80/PENTZ-Patrick_441065;https://api.fifa.com/api/v3/picture/flags-sq-3/AUT;56;0;0;0;60;60
499803;285023_43935;Mike Penders;Mike Penders;Bélgica;Belgium;BEL;GK;;;https://digitalhub.fifa.com/transform/88da8ae8-d4af-47b1-8f4c-e3ac46fbc226/PENDERS-Mike_499803;https://api.fifa.com/api/v3/picture/flags-sq-3/BEL;56;0;0;0;60;60
