player_id;team_external_id;player_name_pt;player_name_en;team_name_pt;team_name_en;team_abbreviation;position_code;position_pt;position_en;player_image_url;team_flag_url;rank_offers_to_receive_total;offers_to_receive_total;offers_to_receive_in_behind;offers_to_receive_in_between;offers_to_receive_in_front;offers_to_receive_inside;offers_to_receive_outside;receptions_in_behind;receptions_between_midfield_and_defensive_line;receptions_under_pressure;number_of_involvements;rank_offers_to_receive_in_behind;rank_offers_to_receive_in_between;rank_offers_to_receive_in_front;rank_offers_to_receive_inside;rank_offers_to_receive_outside;rank_receptions_in_behind;rank_receptions_between_midfield_and_defensive_line;rank_receptions_under_pressure;rank_number_of_involvements
339683;285023_43934;;Kevin Stoeger;;;;;;;;;1251;;;;;;;;;;;1251;1251;1251;1251;1251;1251;1251;1251;1251
405761;285023_43926;;Kevin Viveros;;;;;;;;;1252;;;;;;;;;;;1252;1252;1252;1252;1252;1252;1252;1252;1252
486593;285023_43834;;Khaled Binsabaa;;;;;;;;;1254;;;;;;;;;;;1254;1254;1254;1254;1254;1254;1254;1254;1254
419437;285023_43834;;Khaled Mohammed;;;;;;;;;1255;;;;;;;;;;;1255;1255;1255;1255;1255;1255;1255;1255;1255
494268;285023_43855;;Khaled Sobhy;;;;;;;;;1256;;;;;;;;;;;1256;1256;1256;1256;1256;1256;1256;1256;1256
511879;285023_43820;;Khaled Zakaria;;;;;;;;;1257;;;;;;;;;;;1257;1257;1257;1257;1257;1257;1257;1257;1257
421378;285023_43946;;Khephren Thuram;;;;;;;;;1260;;;;;;;;;;;1260;1260;1260;1260;1260;1260;1260;1260;1260
484287;285023_44005;;Khusain Norchaev;;;;;;;;;1264;;;;;;;;;;;1264;1264;1264;1264;1264;1264;1264;1264;1264
495263;285023_43942;;Kiernan Dewsbury Hall;;;;;;;;;1266;;;;;;;;;;;1266;1266;1266;1266;1266;1266;1266;1266;1266
502758;285023_43967;;Kieron Bowie;;;;;;;;;1267;;;;;;;;;;;1267;1267;1267;1267;1267;1267;1267;1267;1267
512152;285023_43843;;Kilian Belazzoug;;;;;;;;;1268;;;;;;;;;;;1268;1268;1268;1268;1268;1268;1268;1268;1268
492359;285023_43935;;Killian Sardella;;;;;;;;;1269;;;;;;;;;;;1269;1269;1269;1269;1269;1269;1269;1269;1269
492192;285023_43822;;Kim Bongsoo;;;;;;;;;1270;;;;;;;;;;;1270;1270;1270;1270;1270;1270;1270;1270;1270
464376;285023_43822;;Kim Jisoo;;;;;;;;;1272;;;;;;;;;;;1272;1272;1272;1272;1272;1272;1272;1272;1272
418482;285023_43822;;Kim Jusung;;;;;;;;;1273;;;;;;;;;;;1273;1273;1273;1273;1273;1273;1273;1273;1273
522265;285023_43822;;Kim Taehyun;;;;;;;;;1278;;;;;;;;;;;1278;1278;1278;1278;1278;1278;1278;1278;1278
401460;285023_43946;;Kingsley Coman;;;;;;;;;1279;;;;;;;;;;;1279;1279;1279;1279;1279;1279;1279;1279;1279
483509;285023_43960;;Kjell Scherpen;;;;;;;;;1280;;;;;;;;;;;1280;1280;1280;1280;1280;1280;1280;1280;1280
448559;285023_43819;;Kodai Sano;;;;;;;;;1282;;;;;;;;;;;1282;1282;1282;1282;1282;1282;1282;1282;1282
371850;285023_43819;;Koji Miyoshi;;;;;;;;;1283;;;;;;;;;;;1283;1283;1283;1283;1283;1283;1283;1283;1283
371898;285023_43819;;Koki Machida;;;;;;;;;1285;;;;;;;;;;;1285;1285;1285;1285;1285;1285;1285;1285;1285
405532;285023_43819;;Kosei Tani;;;;;;;;;1289;;;;;;;;;;;1289;1289;1289;1289;1289;1289;1289;1289;1289
522868;285023_43899;;Kosi Thompson;;;;;;;;;1290;;;;;;;;;;;1290;1290;1290;1290;1290;1290;1290;1290;1290
448562;285023_43819;;Kota Takai;;;;;;;;;1292;;;;;;;;;;;1292;1292;1292;1292;1292;1292;1292;1292;1292
510886;285023_43961;;Kristian Arnstad;;;;;;;;;1295;;;;;;;;;;;1295;1295;1295;1295;1295;1295;1295;1295;1295
477826;285023_43850;;Kristopher Da Graca;;;;;;;;;1300;;;;;;;;;;;1300;1300;1300;1300;1300;1300;1300;1300;1300
514333;285023_43995;;Krystof Danek;;;;;;;;;1301;;;;;;;;;;;1301;1301;1301;1301;1301;1301;1301;1301;1301
484268;285023_43818;;Kumel Saadi;;;;;;;;;1302;;;;;;;;;;;1302;1302;1302;1302;1302;1302;1302;1302;1302
448566;285023_43819;;Kuryu Matsuki;;;;;;;;;1303;;;;;;;;;;;1303;1303;1303;1303;1303;1303;1303;1303;1303
505864;285023_44005;;Kuvondik Ruziev;;;;;;;;;1304;;;;;;;;;;;1304;1304;1304;1304;1304;1304;1304;1304;1304
523184;285023_43860;;Kwadwo Baah;;;;;;;;;1305;;;;;;;;;;;1305;1305;1305;1305;1305;1305;1305;1305;1305
484868;285023_43971;;Kwadwo Duah;;;;;;;;;1306;;;;;;;;;;;1306;1306;1306;1306;1306;1306;1306;1306;1306
517731;285023_43899;;Kwasi Poku;;;;;;;;;1307;;;;;;;;;;;1307;1307;1307;1307;1307;1307;1307;1307;1307
491135;285023_43822;;Kwon Hyeokkyu;;;;;;;;;1309;;;;;;;;;;;1309;1309;1309;1309;1309;1309;1309;1309;1309
392490;285023_43822;;Kwon Kyungwon;;;;;;;;;1310;;;;;;;;;;;1310;1310;1310;1310;1310;1310;1310;1310;1310
389539;285023_43976;;Kye Rowles;;;;;;;;;1311;;;;;;;;;;;1311;1311;1311;1311;1311;1311;1311;1311;1311
517795;285023_43978;;Kyle Adams;;;;;;;;;1312;;;;;;;;;;;1312;1312;1312;1312;1312;1312;1312;1312;1312
463682;285023_43922;;Lautaro Di Lollo;;;;;;;;;1319;;;;;;;;;;;1319;1319;1319;1319;1319;1319;1319;1319;1319
506470;285023_1895293;;Leandro Merencia;;;;;;;;;1324;;;;;;;;;;;1324;1324;1324;1324;1324;1324;1324;1324;1324
368621;285023_43822;;Lee Changgeun;;;;;;;;;1328;;;;;;;;;;;1328;1328;1328;1328;1328;1328;1328;1328;1328
429598;285023_43822;;Lee Dongjun;;;;;;;;;1330;;;;;;;;;;;1330;1330;1330;1330;1330;1330;1330;1330;1330
522271;285023_43822;;Lee Hojae;;;;;;;;;1333;;;;;;;;;;;1333;1333;1333;1333;1333;1333;1333;1333;1333
464393;285023_43822;;Lee Hyunju;;;;;;;;;1334;;;;;;;;;;;1334;1334;1334;1334;1334;1334;1334;1334;1334
368620;285023_43822;;Lee Myungjae;;;;;;;;;1337;;;;;;;;;;;1337;1337;1337;1337;1337;1337;1337;1337;1337
390081;285023_43822;;Lee Seungwoo;;;;;;;;;1338;;;;;;;;;;;1338;1338;1338;1338;1338;1338;1338;1338;1338
402814;285023_43822;;Lee Youhyeon;;;;;;;;;1340;;;;;;;;;;;1340;1340;1340;1340;1340;1340;1340;1340;1340
495889;285023_43948;;Lennart Karl;;;;;;;;;1341;;;;;;;;;;;1341;1341;1341;1341;1341;1341;1341;1341;1341
495432;285023_43967;;Lennon Miller;;;;;;;;;1342;;;;;;;;;;;1342;1342;1342;1342;1342;1342;1342;1342;1342
431878;285023_43924;;Leo Ortiz;;;;;;;;;1344;;;;;;;;;;;1344;1344;1344;1344;1344;1344;1344;1344;1344
484703;285023_43969;;Leo Roman;;;;;;;;;1347;;;;;;;;;;;1347;1347;1347;1347;1347;1347;1347;1347;1347
418624;285023_43819;;Leobrian Kokubo;;;;;;;;;1348;;;;;;;;;;;1348;1348;1348;1348;1348;1348;1348;1348;1348
416723;285023_43922;;Leonardo Balerdi;;;;df;;;;;1350;;;;;;;;;;;1350;1350;1350;1350;1350;1350;1350;1350;1350
419009;285023_43927;;Leonardo Campana;;;;;;;;;1351;;;;;;;;;;;1351;1351;1351;1351;1351;1351;1351;1351;1351
473051;285023_43927;;Leonardo Realpe;;;;;;;;;1352;;;;;;;;;;;1352;1352;1352;1352;1352;1352;1352;1352;1352
448115;285023_43971;;Leonidas Stergiou;;;;;;;;;1353;;;;;;;;;;;1353;1353;1353;1353;1353;1353;1353;1353;1353
485099;285023_43934;;Leopold Querfeld;;;;;;;;;1354;;;;;;;;;;;1354;1354;1354;1354;1354;1354;1354;1354;1354
517128;285023_43970;;Leopold Wahlstedt;;;;;;;;;1355;;;;;;;;;;;1355;1355;1355;1355;1355;1355;1355;1355;1355
