team_external_id;team_name_pt;team_name_en;rank_own_goals;own_goals;goals_conceded;forced_turnovers;ball_recovery_time;defensive_pressures_applied;direct_defensive_pressures_applied;rank_goals_conceded;rank_forced_turnovers;rank_ball_recovery_time;rank_defensive_pressures_applied;rank_direct_defensive_pressures_applied
285023_43948;Alemanha;Germany;13;0;5;189;49.48;915;187;21;12;41;33;15
285023_43922;Argentina;Argentina;13;0;5;219;77.62;1180;218;21;9;10;11;5
285023_43843;Argélia;Algeria;13;0;9;181;60.22;1015;152;7;15;33;26;33
285023_43835;Arábia Saudita;Saudi Arabia;3;1;5;128;53.18;1035;140;21;38;39;25;39
285023_43976;Austrália;Australia;3;1;3;174;74.09;1229;162;39;19;12;8;28
285023_43924;Brasil;Brazil;13;0;4;186;96.34;1338;214;31;14;1;3;7
285023_43935;Bélgica;Belgium;13;0;5;223;71.76;1243;190;21;6;16;6;12
285023_44037;Bósnia e Herzegovina;Bosnia and Herzegovina;13;0;8;168;53.83;998;157;12;22;37;28;31
285023_43850;Cabo Verde;Cabo Verde;3;1;5;191;76.43;1252;166;21;11;11;5;25
285023_43899;Canadá;Canada;13;0;6;228;66.43;1183;228;18;3;28;10;4
285023_43834;Catar;Qatar;1;2;10;101;60.48;832;122;4;48;32;40;45
285023_43926;Colômbia;Colombia;13;0;1;173;71.13;750;138;47;20;17;45;41
285023_43854;Costa do Marfim;Côte d'Ivoire;13;0;4;176;70.71;1123;188;31;17;19;16;14
285023_43938;Croácia;Croatia;13;0;7;149;70.2;1011;174;16;31;21;27;22
285023_1895293;Curaçau;Curaçao;13;0;9;121;56.6;983;160;7;40;36;29;30
285023_43921;EUA;USA;13;0;8;220;65.83;1076;216;12;8;29;21;6
285023_43855;Egito;Egypt;1;2;7;224;82.81;1360;238;16;5;6;2;3
285023_43927;Equador;Ecuador;13;0;4;176;53.67;925;205;31;17;38;32;9
285023_43967;Escócia;Scotland;13;0;4;107;70.31;775;109;31;46;20;43;47
285023_43969;Espanha;Spain;13;0;0;252;57.88;1126;176;48;1;34;15;19
285023_43946;França;France;13;0;2;211;69.44;1076;190;46;10;22;21;12
285023_43860;Gana;Ghana;13;0;3;156;89.73;1160;183;39;28;2;12;16
285023_43908;Haiti;Haiti;13;0;8;113;49.18;810;143;12;44;42;41;36
285023_43960;Holanda;Netherlands;13;0;5;165;65.67;939;143;21;24;30;31;36
285023_43942;Inglaterra;England;13;0;5;168;70.73;1084;203;21;22;18;19;10
285023_43818;Iraque;Iraq;3;1;12;122;61.26;851;155;1;39;31;38;32
285023_43819;Japão;Japan;13;0;5;139;80.59;1118;191;21;33;8;17;11
285023_43820;Jordânia;Jordan;3;1;8;139;68.21;1148;166;12;33;25;14;25
285023_43872;Marrocos;Morocco;3;1;4;226;66.46;1150;259;31;4;27;13;2
285023_43911;México;Mexico;13;0;3;178;73.86;1065;177;39;16;13;23;18
285023_43961;Noruega;Norway;13;0;9;160;79.33;1095;175;7;26;9;18;20
285023_43978;Nova Zelândia;New Zealand;13;0;10;118;47.94;844;140;4;43;43;39;39
285023_43914;Panamá;Panama;13;0;4;147;46.44;753;175;31;32;45;44;20
285023_43928;Paraguai;Paraguay;3;1;6;249;88.79;1689;331;18;2;3;1;1
285023_43963;Portugal;Portugal;13;0;3;188;81.25;1282;161;39;13;7;4;29
285023_20014;RD do Congo;Congo DR;13;0;5;172;85.2;1234;179;21;21;4;7;17
285023_43817;RI do Irã;IR Iran;13;0;3;132;47.85;874;148;39;37;44;35;35
285023_43822;República da Coreia;Korea Republic;13;0;3;106;44.64;563;86;39;47;46;47;48
285023_43879;Senegal;Senegal;13;0;9;165;68.01;1055;170;7;24;26;24;24
285023_43970;Suécia;Sweden;13;0;10;150;72.94;859;150;4;29;15;36;34
285023_43971;Suíça;Switzerland;3;1;3;222;68.34;898;174;39;7;24;34;22
285023_43995;Tchéquia;Czechia;13;0;6;119;56.67;857;121;18;42;35;37;46
285023_43888;Tunísia;Tunisia;3;1;12;109;69.13;802;131;1;45;23;42;42
285023_43972;Turquia;Türkiye;13;0;5;121;29.94;490;123;21;40;48;48;44
285023_43930;Uruguai;Uruguay;13;0;4;133;40.21;745;130;31;36;47;46;43
285023_44005;Uzbequistão;Uzbekistan;3;1;11;135;50;944;142;3;35;40;30;38
285023_43883;África do Sul;South Africa;13;0;4;158;73.07;1081;166;31;27;14;20;25
285023_43934;Áustria;Austria;13;0;9;150;83.93;1220;209;7;29;5;9;8
