team_external_id;team_name_pt;team_name_en;rank_fouls_against;fouls_against;fouls_for;yellow_cards;red_cards;indirect_red_cards;offsides;rank_fouls_for;rank_yellow_cards;rank_red_cards;rank_indirect_red_cards;rank_offsides
285023_43948;Alemanha;Germany;17;51;42;3;0;0;4;24;39;12;1;33
285023_43922;Argentina;Argentina;7;59;54;3;0;0;14;11;39;12;1;2
285023_43843;Argélia;Algeria;42;29;40;3;0;0;4;25;39;12;1;33
285023_43835;Arábia Saudita;Saudi Arabia;42;29;26;6;0;0;3;45;13;12;1;41
285023_43976;Austrália;Australia;23;46;38;5;0;0;1;27;19;12;1;47
285023_43924;Brasil;Brazil;17;51;54;8;0;0;11;11;5;12;1;4
285023_43935;Bélgica;Belgium;6;60;56;4;1;0;7;10;27;3;1;21
285023_44037;Bósnia e Herzegovina;Bosnia and Herzegovina;7;59;37;7;1;0;2;30;7;3;1;44
285023_43850;Cabo Verde;Cabo Verde;45;27;47;5;0;0;7;16;19;12;1;21
285023_43899;Canadá;Canada;1;72;71;11;0;0;7;4;2;12;1;21
285023_43834;Catar;Qatar;34;36;28;4;2;0;4;43;27;1;1;33
285023_43926;Colômbia;Colombia;2;70;64;9;0;0;19;6;3;12;1;1
285023_43854;Costa do Marfim;Côte d'Ivoire;42;29;36;4;0;0;4;32;27;12;1;33
285023_43938;Croácia;Croatia;25;45;46;4;0;0;8;18;27;12;1;16
285023_1895293;Curaçau;Curaçao;37;32;31;7;0;0;5;37;7;12;1;29
285023_43921;EUA;USA;11;56;64;7;1;0;11;6;7;3;1;4
285023_43855;Egito;Egypt;7;59;67;12;0;0;4;5;1;12;1;33
285023_43927;Equador;Ecuador;19;49;37;8;1;0;2;30;5;3;1;44
285023_43967;Escócia;Scotland;31;42;39;5;0;0;2;26;19;12;1;44
285023_43969;Espanha;Spain;13;55;38;3;0;0;9;27;39;12;1;10
285023_43946;França;France;19;49;43;4;0;0;7;21;27;12;1;21
285023_43860;Gana;Ghana;11;56;47;6;0;0;8;16;13;12;1;16
285023_43908;Haiti;Haiti;13;55;43;7;0;0;7;21;7;12;1;21
285023_43960;Holanda;Netherlands;27;44;43;3;0;0;8;21;39;12;1;16
285023_43942;Inglaterra;England;16;54;77;7;1;0;6;2;7;3;1;27
285023_43818;Iraque;Iraq;45;27;31;4;1;0;1;37;27;3;1;47
285023_43819;Japão;Japan;13;55;31;4;0;0;4;37;27;12;1;33
285023_43820;Jordânia;Jordan;39;31;23;4;0;0;3;46;27;12;1;41
285023_43872;Marrocos;Morocco;5;61;80;6;0;0;9;1;13;12;1;10
285023_43911;México;Mexico;10;58;48;4;1;0;5;14;27;3;1;29
285023_43961;Noruega;Norway;21;48;35;2;0;0;4;33;45;12;1;33
285023_43978;Nova Zelândia;New Zealand;37;32;23;4;0;0;4;46;27;12;1;33
285023_43914;Panamá;Panama;23;46;33;5;0;0;6;35;19;12;1;27
285023_43928;Paraguai;Paraguay;4;66;61;9;1;0;5;8;3;3;1;29
285023_43963;Portugal;Portugal;27;44;58;7;0;0;10;9;7;12;1;7
285023_20014;RD do Congo;Congo DR;27;44;44;6;0;0;9;20;13;12;1;10
285023_43817;RI do Irã;IR Iran;36;35;23;6;0;0;9;46;13;12;1;10
285023_43822;República da Coreia;Korea Republic;48;25;32;4;0;0;8;36;27;12;1;16
285023_43879;Senegal;Senegal;34;36;48;3;0;0;10;14;39;12;1;7
285023_43970;Suécia;Sweden;30;43;50;5;0;0;9;13;19;12;1;10
285023_43971;Suíça;Switzerland;3;69;75;6;0;0;10;3;13;12;1;7
285023_43995;Tchéquia;Czechia;33;37;31;1;0;0;5;37;47;12;1;29
285023_43888;Tunísia;Tunisia;45;27;34;1;0;0;9;34;47;12;1;10
285023_43972;Turquia;Türkiye;39;31;38;2;0;0;7;27;45;12;1;21
285023_43930;Uruguai;Uruguay;39;31;29;5;1;0;14;41;19;3;1;2
285023_44005;Uzbequistão;Uzbekistan;25;45;29;4;0;0;3;41;27;12;1;41
285023_43883;África do Sul;South Africa;32;38;46;5;2;0;8;18;19;1;1;16
285023_43934;Áustria;Austria;22;47;27;5;0;0;11;44;19;12;1;4
