team_external_id;team_name_pt;team_name_en;rank_passes;passes;passing_accuracy_rate;crosses;crossing_accuracy_rate;linebreaks_attempted_defensive_line;linebreak_attempted_defensive_line_rate;attempted_switches_of_play;switches_of_play_rate;rank_passing_accuracy_rate;rank_crosses;rank_crossing_accuracy_rate;rank_linebreaks_attempted_defensive_line;rank_linebreak_attempted_defensive_line_rate;rank_attempted_switches_of_play;rank_switches_of_play_rate
285023_43948;Alemanha;Germany;10;2721;90;108;22;81;56;14;71;3;5;31;18;12;33;40
285023_43922;Argentina;Argentina;1;3446;91;66;32;89;65;23;91;1;23;3;14;3;16;9
285023_43843;Argélia;Algeria;12;2641;90;39;21;76;55;30;93;3;39;34;22;13;6;7
285023_43835;Arábia Saudita;Saudi Arabia;39;1175;78;22;23;53;40;12;67;43;47;27;38;37;39;45
285023_43976;Austrália;Australia;28;1647;81;70;27;76;47;21;62;36;21;13;22;25;22;48
285023_43924;Brasil;Brazil;9;2742;90;89;24;107;55;24;96;3;11;23;9;13;15;4
285023_43935;Bélgica;Belgium;8;2761;87;121;29;116;53;30;77;15;4;7;6;17;6;31
285023_44037;Bósnia e Herzegovina;Bosnia and Herzegovina;29;1618;81;59;17;53;43;17;76;36;30;43;38;32;29;32
285023_43850;Cabo Verde;Cabo Verde;31;1555;82;51;27;58;34;22;64;33;33;13;35;44;18;47
285023_43899;Canadá;Canada;18;2098;82;158;24;119;55;18;83;33;1;23;5;13;26;20
285023_43834;Catar;Qatar;48;912;78;28;36;71;27;11;91;43;45;1;29;45;42;9
285023_43926;Colômbia;Colombia;6;2791;87;81;28;78;49;43;91;15;18;10;19;24;1;9
285023_43854;Costa do Marfim;Côte d'Ivoire;21;1970;88;78;24;85;53;13;92;11;20;23;16;17;36;8
285023_43938;Croácia;Croatia;22;1901;87;66;21;77;51;22;82;15;23;34;21;23;18;22
285023_1895293;Curaçau;Curaçao;46;968;80;21;29;40;40;7;100;40;48;7;47;37;48;1
285023_43921;EUA;USA;13;2606;86;90;26;140;60;27;81;23;9;18;1;6;10;25
285023_43855;Egito;Egypt;11;2654;87;83;20;112;53;41;90;15;16;39;8;17;3;13
285023_43927;Equador;Ecuador;20;1985;86;88;25;93;44;10;90;23;12;22;13;29;45;13
285023_43967;Escócia;Scotland;35;1377;87;53;34;45;40;17;71;15;32;2;44;37;29;40
285023_43969;Espanha;Spain;2;3382;91;125;22;127;68;32;97;1;3;31;3;2;4;3
285023_43946;França;France;5;2872;90;86;13;115;69;26;96;3;14;48;7;1;13;4
285023_43860;Gana;Ghana;34;1397;84;48;21;61;43;23;78;30;35;34;34;32;16;29
285023_43908;Haiti;Haiti;42;1098;85;42;24;42;40;13;100;27;37;23;46;37;36;1
285023_43960;Holanda;Netherlands;19;2039;88;79;27;78;60;11;82;11;19;13;19;6;42;22
285023_43942;Inglaterra;England;15;2473;89;126;26;139;65;25;72;8;2;18;2;3;14;39
285023_43818;Iraque;Iraq;40;1129;81;24;29;48;44;14;79;36;46;7;43;29;33;27
285023_43819;Japão;Japan;27;1733;86;62;26;74;47;12;67;23;27;18;26;25;39;45
285023_43820;Jordânia;Jordan;47;914;76;31;32;52;52;11;73;47;44;3;40;21;42;37
285023_43872;Marrocos;Morocco;3;3126;89;83;27;96;53;22;82;8;16;13;12;17;18;22
285023_43911;México;Mexico;17;2175;87;91;26;89;42;28;89;15;8;18;14;35;9;16
285023_43961;Noruega;Norway;14;2532;88;69;32;85;44;16;69;11;22;3;16;29;32;44
285023_43978;Nova Zelândia;New Zealand;37;1335;83;37;19;54;22;8;75;31;40;40;36;48;46;34
285023_43914;Panamá;Panama;38;1259;83;58;21;54;43;27;70;31;31;34;36;32;10;43
285023_43928;Paraguai;Paraguay;36;1360;69;47;17;71;25;18;83;48;36;43;29;47;26;20
285023_43963;Portugal;Portugal;4;2946;90;94;27;123;54;42;81;3;7;13;4;16;2;25
285023_20014;RD do Congo;Congo DR;32;1470;81;64;22;70;36;18;78;36;25;31;31;43;26;29
285023_43817;RI do Irã;IR Iran;44;1051;77;40;23;50;46;14;79;46;38;27;42;27;33;27
285023_43822;República da Coreia;Korea Republic;24;1853;89;64;28;65;60;21;86;8;25;10;32;6;22;17
285023_43879;Senegal;Senegal;16;2248;88;90;28;98;57;31;90;11;9;10;10;11;5;13
285023_43970;Suécia;Sweden;30;1569;82;62;19;75;45;13;85;33;27;40;24;28;36;18
285023_43971;Suíça;Switzerland;7;2763;86;101;16;98;52;22;91;23;6;46;10;21;18;9
285023_43995;Tchéquia;Czechia;41;1102;79;50;32;45;38;12;75;42;34;3;44;41;39;34
285023_43888;Tunísia;Tunisia;45;1011;80;35;23;40;38;21;71;40;42;27;47;41;22;40
285023_43972;Turquia;Türkiye;25;1844;87;84;14;75;60;30;73;15;15;47;24;6;6;37
285023_43930;Uruguai;Uruguay;33;1445;87;87;21;74;64;19;95;15;13;34;26;5;25;6
285023_44005;Uzbequistão;Uzbekistan;43;1059;78;34;18;51;27;17;76;43;43;42;41;45;29;32
285023_43883;África do Sul;South Africa;23;1855;85;36;17;63;41;27;85;27;41;43;33;36;10;18
285023_43934;Áustria;Austria;26;1827;85;62;23;72;58;8;75;27;27;27;28;10;46;34
