team_external_id;team_name_pt;team_name_en;rank_avg_speed;avg_speed;speed_runs;sprints;total_distance;rank_speed_runs;rank_sprints;rank_total_distance
285023_43948;Alemanha;Germany;2;6.29;5991;1990;508926.8;12;16;17
285023_43922;Argentina;Argentina;47;5.66;5766;2005;569704.61;14;15;10
285023_43843;Argélia;Algeria;25;6;4980;1703;443965.4;23;25;27
285023_43835;Arábia Saudita;Saudi Arabia;23;6.02;4110;1450;338484.3;36;34;39
285023_43976;Austrália;Australia;8;6.13;5728;1900;494019.02;15;17;18
285023_43924;Brasil;Brazil;35;5.88;6080;2110;561314.06;11;12;14
285023_43935;Bélgica;Belgium;3;6.25;7278;2559;623372.97;1;2;1
285023_44037;Bósnia e Herzegovina;Bosnia and Herzegovina;18;6.04;4863;1756;453585;24;24;22
285023_43850;Cabo Verde;Cabo Verde;38;5.87;4778;1681;476431.33;25;27;20
285023_43899;Canadá;Canada;10;6.1;6943;2560;570460.28;3;1;8
285023_43834;Catar;Qatar;48;5.64;3584;1080;310036.75;44;48;48
285023_43926;Colômbia;Colombia;46;5.66;4442;1562;563135.62;31;32;12
285023_43854;Costa do Marfim;Côte d'Ivoire;41;5.81;4657;1692;434938.12;27;26;30
285023_43938;Croácia;Croatia;28;5.98;5022;1827;452321.82;21;19;23
285023_1895293;Curaçau;Curaçao;44;5.74;3093;1230;315767.46;48;45;47
285023_43921;EUA;USA;4;6.23;7252;2446;594895.11;2;4;3
285023_43855;Egito;Egypt;21;6.04;6907;2437;605207.25;4;5;2
285023_43927;Equador;Ecuador;45;5.72;4598;1793;426982.84;29;20;32
285023_43967;Escócia;Scotland;6;6.21;3766;1251;348567.52;40;44;36
285023_43969;Espanha;Spain;16;6.08;6305;2215;569945.44;8;8;9
285023_43946;França;France;29;5.97;5661;2014;549520.66;16;13;16
285023_43860;Gana;Ghana;43;5.76;4489;1672;436806.59;30;28;29
285023_43908;Haiti;Haiti;31;5.96;3975;1376;334085.63;38;37;44
285023_43960;Holanda;Netherlands;42;5.77;4601;1590;455769.39;28;30;21
285023_43942;Inglaterra;England;20;6.04;6176;2269;562706.02;10;7;13
285023_43818;Iraque;Iraq;14;6.09;3746;1209;328508.46;41;47;46
285023_43819;Japão;Japan;22;6.02;4678;1669;446744.57;26;29;26
285023_43820;Jordânia;Jordan;9;6.13;4296;1363;347325.19;34;39;37
285023_43872;Marrocos;Morocco;36;5.88;6358;2488;589703.76;6;3;6
285023_43911;México;Mexico;24;6.01;6354;2190;563844.44;7;9;11
285023_43961;Noruega;Norway;7;6.18;6507;2277;584989.39;5;6;7
285023_43978;Nova Zelândia;New Zealand;5;6.22;4280;1492;349040.82;35;33;34
285023_43914;Panamá;Panama;17;6.04;3745;1372;336713.09;42;38;42
285023_43928;Paraguai;Paraguay;33;5.9;6191;2141;592560.41;9;10;4
285023_43963;Portugal;Portugal;40;5.83;5836;2134;553476.36;13;11;15
285023_20014;RD do Congo;Congo DR;30;5.96;4983;1780;447455.88;22;22;25
285023_43817;RI do Irã;IR Iran;15;6.08;4061;1347;344366.12;37;41;38
285023_43822;República da Coreia;Korea Republic;13;6.09;3553;1298;334954.79;45;42;43
285023_43879;Senegal;Senegal;39;5.86;5363;2010;492777.45;18;14;19
285023_43970;Suécia;Sweden;27;5.99;4426;1586;439790.02;32;31;28
285023_43971;Suíça;Switzerland;19;6.04;5439;1789;592477.34;17;21;5
285023_43995;Tchéquia;Czechia;1;6.33;4330;1381;348826.43;33;36;35
285023_43888;Tunísia;Tunisia;12;6.09;3503;1213;333260.77;47;46;45
285023_43972;Turquia;Türkiye;11;6.1;3548;1289;350818.34;46;43;33
285023_43930;Uruguai;Uruguay;37;5.88;3668;1448;337450.99;43;35;40
285023_44005;Uzbequistão;Uzbekistan;32;5.9;3793;1354;337440.01;39;40;41
285023_43883;África do Sul;South Africa;34;5.9;5039;1884;429068.84;20;18;31
285023_43934;Áustria;Austria;26;5.99;5100;1776;451914.58;19;23;24
