team_external_id;team_name_pt;team_name_en;rank_clean_sheets;clean_sheets;goals_conceded;goalkeeper_saves;goalkeeper_defensive_actions_inside_penalty_area;goalkeeper_defensive_actions_outside_penalty_area;rank_goals_conceded;rank_goalkeeper_saves;rank_goalkeeper_defensive_actions_inside_penalty_area;rank_goalkeeper_defensive_actions_outside_penalty_area
285023_43948;Alemanha;Germany;28;0;5;7;61;45;21;42;34;42
285023_43922;Argentina;Argentina;5;2;5;4;57;49;21;47;38;36
285023_43843;Argélia;Algeria;28;0;9;9;48;45;7;33;44;42
285023_43835;Arábia Saudita;Saudi Arabia;18;1;5;17;86;78;21;5;14;9
285023_43976;Austrália;Australia;5;2;3;14;91;76;39;16;11;11
285023_43924;Brasil;Brazil;5;2;4;15;67;59;31;12;33;30
285023_43935;Bélgica;Belgium;18;1;5;13;92;75;21;19;9;12
285023_44037;Bósnia e Herzegovina;Bosnia and Herzegovina;28;0;8;8;92;70;12;38;9;16
285023_43850;Cabo Verde;Cabo Verde;5;2;5;18;136;102;21;4;2;4
285023_43899;Canadá;Canada;5;2;6;7;49;40;18;42;43;46
285023_43834;Catar;Qatar;28;0;10;16;124;103;4;8;3;3
285023_43926;Colômbia;Colombia;2;4;1;5;48;46;47;46;44;40
285023_43854;Costa do Marfim;Côte d'Ivoire;5;2;4;11;84;68;31;26;18;19
285023_43938;Croácia;Croatia;18;1;7;12;80;68;16;23;22;19
285023_1895293;Curaçau;Curaçao;18;1;9;21;81;72;7;2;21;15
285023_43921;EUA;USA;5;2;8;10;79;65;12;30;23;23
285023_43855;Egito;Egypt;28;0;7;14;119;105;16;16;4;2
285023_43927;Equador;Ecuador;18;1;4;12;68;63;31;23;32;29
285023_43967;Escócia;Scotland;18;1;4;9;75;64;31;33;27;26
285023_43969;Espanha;Spain;1;5;0;9;70;54;48;33;30;33
285023_43946;França;France;4;3;2;10;59;47;46;30;37;39
285023_43860;Gana;Ghana;5;2;3;16;86;77;39;8;14;10
285023_43908;Haiti;Haiti;28;0;8;13;56;48;12;19;40;38
285023_43960;Holanda;Netherlands;28;0;5;17;57;54;21;5;38;33
285023_43942;Inglaterra;England;5;2;5;9;89;73;21;33;12;14
285023_43818;Iraque;Iraq;28;0;12;10;94;81;1;30;8;8
285023_43819;Japão;Japan;18;1;5;17;78;64;21;5;24;26
285023_43820;Jordânia;Jordan;28;0;8;8;70;56;12;38;30;32
285023_43872;Marrocos;Morocco;5;2;4;12;85;67;31;23;16;21
285023_43911;México;Mexico;2;4;3;8;60;49;39;38;35;36
285023_43961;Noruega;Norway;28;0;9;16;112;97;7;8;6;5
285023_43978;Nova Zelândia;New Zealand;28;0;10;11;97;88;4;26;7;7
285023_43914;Panamá;Panama;28;0;4;9;48;42;31;33;44;45
285023_43928;Paraguai;Paraguay;5;2;6;28;141;124;18;1;1;1
285023_43963;Portugal;Portugal;5;2;3;20;114;93;39;3;5;6
285023_20014;RD do Congo;Congo DR;28;0;5;15;83;70;21;12;19;16
285023_43817;RI do Irã;IR Iran;18;1;3;15;75;65;39;12;27;23
285023_43822;República da Coreia;Korea Republic;28;0;3;11;42;34;39;26;48;48
285023_43879;Senegal;Senegal;18;1;9;13;87;70;7;19;13;16
285023_43970;Suécia;Sweden;28;0;10;16;76;66;4;8;26;22
285023_43971;Suíça;Switzerland;5;2;3;13;51;45;39;19;42;42
285023_43995;Tchéquia;Czechia;28;0;6;11;60;52;18;26;35;35
285023_43888;Tunísia;Tunisia;28;0;12;7;77;64;1;42;25;26
285023_43972;Turquia;Türkiye;28;0;5;8;55;46;21;38;41;40
285023_43930;Uruguai;Uruguay;28;0;4;4;48;39;31;47;44;47
285023_44005;Uzbequistão;Uzbekistan;28;0;11;6;82;65;3;45;20;23
285023_43883;África do Sul;South Africa;18;1;4;14;72;59;31;16;29;30
285023_43934;Áustria;Austria;28;0;9;15;85;74;7;12;16;13
