team_external_id;team_name_pt;team_name_en;rank_offers_to_receive_total;offers_to_receive_total;offers_to_receive_in_behind;offers_to_receive_in_between;offers_to_receive_in_front;offers_to_receive_inside;offers_to_receive_outside;receptions_in_behind;receptions_between_midfield_and_defensive_line;receptions_under_pressure;rank_offers_to_receive_in_behind;rank_offers_to_receive_in_between;rank_offers_to_receive_in_front;rank_offers_to_receive_inside;rank_offers_to_receive_outside;rank_receptions_in_behind;rank_receptions_between_midfield_and_defensive_line;rank_receptions_under_pressure
285023_43948;Alemanha;Germany;15;1591;440;631;520;849;742;45;550;942;15;14;14;16;15;17;7;9
285023_43922;Argentina;Argentina;2;2105;520;784;801;1148;957;56;580;1100;9;3;3;4;4;8;3;3
285023_43843;Argélia;Algeria;14;1621;477;637;507;905;716;38;379;888;13;13;16;12;16;26;22;13
285023_43835;Arábia Saudita;Saudi Arabia;46;707;207;276;224;386;321;24;244;523;44;46;43;42;46;35;39;38
285023_43976;Austrália;Australia;34;1039;245;465;329;546;493;39;360;839;38;26;33;36;31;24;24;16
285023_43924;Brasil;Brazil;8;1952;501;746;705;1112;840;55;462;828;10;6;6;6;11;9;12;18
285023_43935;Bélgica;Belgium;5;2071;688;721;662;1141;930;60;613;976;2;10;7;5;5;7;2;7
285023_44037;Bósnia e Herzegovina;Bosnia and Herzegovina;36;986;286;356;344;497;489;22;257;676;32;39;32;37;32;36;35;25
285023_43850;Cabo Verde;Cabo Verde;22;1243;323;559;361;624;619;19;291;663;27;17;28;28;18;41;30;26
285023_43899;Canadá;Canada;16;1589;533;576;480;790;799;72;540;929;7;15;19;19;13;5;8;10
285023_43834;Catar;Qatar;47;643;169;285;189;347;296;22;146;361;48;45;47;47;47;36;48;48
285023_43926;Colômbia;Colombia;11;1728;483;689;556;835;893;45;420;698;12;12;12;17;8;17;18;23
285023_43854;Costa do Marfim;Côte d'Ivoire;30;1112;326;480;306;589;523;46;424;861;26;24;35;31;27;16;16;15
285023_43938;Croácia;Croatia;23;1238;402;442;394;682;556;33;323;645;21;29;27;24;23;28;27;28
285023_1895293;Curaçau;Curaçao;48;621;189;289;143;346;275;17;228;524;46;44;48;48;48;44;43;37
285023_43921;EUA;USA;9;1913;550;738;625;1040;873;78;525;993;5;8;10;8;9;4;9;4
285023_43855;Egito;Egypt;7;1963;437;745;781;929;1034;51;451;869;16;7;4;11;2;13;15;14
285023_43927;Equador;Ecuador;20;1308;320;514;474;699;609;39;422;713;29;21;20;22;19;24;17;21
285023_43967;Escócia;Scotland;33;1040;231;400;409;558;482;15;230;430;41;33;24;33;33;46;41;44
285023_43969;Espanha;Spain;1;2474;703;843;928;1431;1043;83;740;1133;1;2;1;1;1;2;1;2
285023_43946;França;France;13;1687;498;531;658;931;756;80;556;928;11;19;8;10;14;3;6;11
285023_43860;Gana;Ghana;41;772;277;242;253;397;375;26;235;494;34;48;40;41;42;34;40;39
285023_43908;Haiti;Haiti;39;834;252;350;232;429;405;13;212;407;37;40;42;39;39;48;44;46
285023_43960;Holanda;Netherlands;28;1195;409;376;410;713;482;47;380;642;19;37;23;21;33;15;21;29
285023_43942;Inglaterra;England;4;2086;530;732;824;1159;927;89;457;911;8;9;2;3;6;1;14;12
285023_43818;Iraque;Iraq;37;955;300;391;264;548;407;22;172;430;30;35;39;34;38;36;47;44
285023_43819;Japão;Japan;18;1479;392;576;511;872;607;33;324;574;22;15;15;14;20;28;26;34
285023_43820;Jordânia;Jordan;43;741;210;323;208;351;390;27;186;465;43;41;45;46;41;33;46;40
285023_43872;Marrocos;Morocco;3;2091;610;719;762;1186;905;55;504;1146;3;11;5;2;7;9;11;1
285023_43911;México;Mexico;6;2034;541;844;649;1076;958;40;505;834;6;1;9;7;3;21;10;17
285023_43961;Noruega;Norway;12;1700;367;783;550;894;806;40;564;958;23;4;13;13;12;21;5;8
285023_43978;Nova Zelândia;New Zealand;32;1062;263;471;328;559;503;14;267;563;36;25;34;32;30;47;33;35
